feature_idx,l1_norm_base,l1_norm_it,l2_norm_base,l2_norm_it,delta_l1_norm,delta_l2_norm,cosine_similarity,l1_norm_base_enc,l1_norm_it_enc,l2_norm_base_enc,l2_norm_it_enc,delta_l1_norm_enc,delta_l2_norm_enc,cosine_similarity_enc
18353,39.50556,44.170574,1.0481602,1.1716835,0.5528068,0.5527119,0.3938852,43.386383,41.951256,1.1208231,1.0741981,0.48346108,0.47920054,0.6719954
46875,39.281944,41.459644,1.0389969,1.1057606,0.5262629,0.53018904,0.39433062,44.614475,44.244305,1.1390324,1.133952,0.49585146,0.4977699,0.7621326
47638,42.27097,44.441746,1.117689,1.1672624,0.5244227,0.5212349,0.39651656,40.406075,37.961914,1.0433786,0.98162943,0.46975502,0.47040904,0.55600876
28276,43.444702,45.502365,1.1492797,1.1922836,0.5226105,0.5180343,0.39679122,46.780186,45.61947,1.2018569,1.1784974,0.48759392,0.49028194,0.6977509
28843,38.79103,49.852196,1.030885,1.320876,0.6109396,0.6097722,0.39805222,42.04428,42.326454,1.0773236,1.0721649,0.5033333,0.4976058,0.754979
2746,38.58697,44.637253,1.0198638,1.1801693,0.5677717,0.56791633,0.400748,44.812172,44.014503,1.1520567,1.1371517,0.49109986,0.49353114,0.8275455
23146,38.3507,44.228962,1.0099754,1.1668644,0.5664526,0.5672267,0.40096146,44.358185,43.423798,1.1316205,1.1145356,0.4894677,0.4924511,0.7051499
70954,39.612217,47.856003,1.0649788,1.2901912,0.58613116,0.58727866,0.40104753,45.489944,45.651604,1.1705056,1.172662,0.50177056,0.50091946,0.7137381
53369,37.859512,50.041687,1.0097095,1.3266635,0.62172025,0.61945534,0.4013079,43.195522,45.140533,1.1081345,1.1580542,0.521544,0.5215533,0.7032427
39587,38.537285,46.641514,1.0164745,1.2248572,0.5868778,0.5850641,0.40152317,43.257874,43.23346,1.1089623,1.1170967,0.4997178,0.50364083,0.7376342
22840,39.46904,44.755524,1.042635,1.1851039,0.55905956,0.5601082,0.40234083,41.622772,42.70388,1.0636538,1.0867271,0.5126582,0.51061594,0.7384238
3681,40.840836,42.45408,1.0793655,1.1095217,0.5189999,0.51358974,0.40429986,44.239525,43.448853,1.1373403,1.111256,0.49106374,0.48853275,0.804312
37620,37.86309,47.083,1.0079465,1.2546611,0.59791124,0.59831923,0.40551373,40.916004,40.913757,1.0512913,1.0498931,0.49997255,0.499335,0.65212315
39011,43.951965,45.88778,1.1576657,1.2104374,0.5210929,0.5217986,0.40554827,42.933228,42.150917,1.1033174,1.0870532,0.49088922,0.4926294,0.67581606
29489,40.204247,48.496296,1.0422664,1.2900357,0.5854916,0.59603196,0.406223,43.936768,44.677372,1.1430964,1.1614652,0.5082884,0.50790757,0.68221164
70995,37.899345,42.61692,1.0077055,1.1368604,0.55534863,0.55680335,0.40664047,40.527897,38.266327,1.0483055,0.9928077,0.4720986,0.47352976,0.5991191
67293,42.226295,41.894962,1.1209263,1.1322422,0.4960767,0.50499713,0.40738815,39.24716,34.24192,1.0216429,0.89101696,0.43623435,0.43607062,0.48628762
3330,40.859283,47.154404,1.0873795,1.2720869,0.56675005,0.5726001,0.40802157,45.023697,45.373997,1.1604097,1.1659937,0.5038601,0.5023945,0.7293075
20336,39.12188,48.842987,1.0319619,1.3050618,0.5995138,0.604631,0.40893963,41.89966,42.436836,1.0741616,1.0959692,0.5063291,0.50994897,0.7116771
